max_distance_usd,tr_gate,qualified_contracts,crossed_contracts,observed_accuracy,max_observed_arm_distance
5,0.0,22,22,1.0,4.849999999991269
5,0.65,22,22,1.0,4.849999999991269
6,0.0,22,22,1.0,5.930000000007567
6,0.65,22,22,1.0,5.930000000007567
7,0.0,23,22,0.9565217391304348,6.9100000000034925
7,0.65,22,22,1.0,6.9100000000034925
10,0.0,24,23,0.9583333333333334,10.0
10,0.65,23,23,1.0,10.0
15,0.0,24,23,0.9583333333333334,14.860000000000582
15,0.65,23,23,1.0,14.860000000000582
20,0.0,24,23,0.9583333333333334,19.69999999999709
20,0.65,23,23,1.0,17.30999999999767
25,0.0,24,23,0.9583333333333334,24.19999999999709
25,0.65,23,23,1.0,17.30999999999767
30,0.0,24,23,0.9583333333333334,28.05999999999767
30,0.65,23,23,1.0,17.30999999999767
40,0.0,24,23,0.9583333333333334,33.74000000000524
40,0.65,23,23,1.0,17.30999999999767
50,0.0,24,23,0.9583333333333334,33.74000000000524
50,0.65,23,23,1.0,17.30999999999767
