ticker,minutes_remaining,outcome,current_side_correct,decision_correct,chart_correct,mp_correct,fusion_state,fusion_risk
KXBTC15M-26SEP112115-15,14,ABOVE,0,0,0,0,SUPPORTED,LOW
KXBTC15M-26SEP112130-30,14,BELOW,0,0,0,0,MIXED,MEDIUM
KXBTC15M-26SEP112145-45,14,BELOW,1,1,0,1,MIXED,MEDIUM
KXBTC15M-26SEP112200-00,14,BELOW,1,1,1,1,MIXED,MEDIUM
KXBTC15M-26SEP112215-15,14,ABOVE,1,1,0,0,CONFLICT,MEDIUM-HIGH
KXBTC15M-26SEP112230-30,14,BELOW,1,1,1,1,MIXED,MEDIUM
KXBTC15M-26SEP112245-45,14,BELOW,1,1,1,1,MIXED,MEDIUM
KXBTC15M-26SEP112300-00,14,ABOVE,1,1,0,0,CONFLICT,MEDIUM-HIGH
KXBTC15M-26SEP112115-15,12,ABOVE,0,0,0,0,MIXED,MEDIUM
KXBTC15M-26SEP112130-30,12,BELOW,0,0,0,0,MIXED,MEDIUM
KXBTC15M-26SEP112145-45,12,BELOW,1,1,0,0,CONFLICT,MEDIUM-HIGH
KXBTC15M-26SEP112200-00,12,BELOW,0,0,0,0,MIXED,MEDIUM
KXBTC15M-26SEP112215-15,12,ABOVE,1,1,1,1,MIXED,MEDIUM
KXBTC15M-26SEP112230-30,12,BELOW,1,1,1,1,MIXED,MEDIUM
KXBTC15M-26SEP112245-45,12,BELOW,1,1,0,0,CONFLICT,MEDIUM-HIGH
KXBTC15M-26SEP112300-00,12,ABOVE,1,1,1,1,MIXED,MEDIUM
KXBTC15M-26SEP112115-15,10,ABOVE,0,0,0,0,MIXED,MEDIUM
KXBTC15M-26SEP112130-30,10,BELOW,1,1,0,0,CONFLICT,MEDIUM-HIGH
KXBTC15M-26SEP112145-45,10,BELOW,1,1,0,0,CONFLICT,MEDIUM-HIGH
KXBTC15M-26SEP112200-00,10,BELOW,0,0,0,0,MIXED,MEDIUM
KXBTC15M-26SEP112215-15,10,ABOVE,1,1,1,1,MIXED,MEDIUM
KXBTC15M-26SEP112230-30,10,BELOW,1,1,0,0,CONFLICT,MEDIUM-HIGH
KXBTC15M-26SEP112245-45,10,BELOW,1,1,1,1,MIXED,MEDIUM
KXBTC15M-26SEP112300-00,10,ABOVE,1,1,1,1,MIXED,MEDIUM
KXBTC15M-26SEP112115-15,8,ABOVE,1,1,1,1,MIXED,MEDIUM
KXBTC15M-26SEP112130-30,8,BELOW,1,1,1,1,MIXED,MEDIUM
KXBTC15M-26SEP112145-45,8,BELOW,1,1,0,0,CONFLICT,MEDIUM-HIGH
KXBTC15M-26SEP112200-00,8,BELOW,0,0,0,0,SUPPORTED,LOW
KXBTC15M-26SEP112215-15,8,ABOVE,1,1,1,1,MIXED,MEDIUM
KXBTC15M-26SEP112230-30,8,BELOW,1,1,1,1,MIXED,MEDIUM
KXBTC15M-26SEP112245-45,8,BELOW,1,1,1,1,MIXED,MEDIUM
KXBTC15M-26SEP112300-00,8,ABOVE,0,0,0,0,MIXED,MEDIUM
KXBTC15M-26SEP112115-15,6,ABOVE,1,1,1,1,MIXED,MEDIUM
KXBTC15M-26SEP112130-30,6,BELOW,1,1,1,1,MIXED,MEDIUM
KXBTC15M-26SEP112145-45,6,BELOW,1,1,1,1,MIXED,MEDIUM
KXBTC15M-26SEP112200-00,6,BELOW,0,0,1,1,CONFLICT,MEDIUM-HIGH
KXBTC15M-26SEP112215-15,6,ABOVE,1,1,1,1,MIXED,MEDIUM
KXBTC15M-26SEP112230-30,6,BELOW,1,1,1,1,MIXED,MEDIUM
KXBTC15M-26SEP112245-45,6,BELOW,1,1,1,1,MIXED,MEDIUM
KXBTC15M-26SEP112300-00,6,ABOVE,1,1,1,1,MIXED,MEDIUM
KXBTC15M-26SEP112115-15,4,ABOVE,1,1,1,1,MIXED,MEDIUM
KXBTC15M-26SEP112130-30,4,BELOW,1,1,1,1,MIXED,MEDIUM
KXBTC15M-26SEP112145-45,4,BELOW,1,1,1,1,MIXED,MEDIUM
KXBTC15M-26SEP112200-00,4,BELOW,0,0,1,1,CONFLICT,MEDIUM-HIGH
KXBTC15M-26SEP112215-15,4,ABOVE,1,1,1,1,MIXED,MEDIUM
KXBTC15M-26SEP112230-30,4,BELOW,1,1,0,0,CONFLICT,MEDIUM-HIGH
KXBTC15M-26SEP112245-45,4,BELOW,1,1,1,1,MIXED,MEDIUM
KXBTC15M-26SEP112300-00,4,ABOVE,1,1,0,0,CONFLICT,MEDIUM-HIGH
KXBTC15M-26SEP112115-15,3,ABOVE,1,1,1,1,MIXED,MEDIUM
KXBTC15M-26SEP112130-30,3,BELOW,1,1,1,1,MIXED,MEDIUM
KXBTC15M-26SEP112145-45,3,BELOW,1,1,1,1,MIXED,MEDIUM
KXBTC15M-26SEP112200-00,3,BELOW,0,0,0,0,MIXED,MEDIUM
KXBTC15M-26SEP112215-15,3,ABOVE,1,1,1,1,MIXED,MEDIUM
KXBTC15M-26SEP112230-30,3,BELOW,0,0,0,0,MIXED,MEDIUM
KXBTC15M-26SEP112245-45,3,BELOW,1,1,1,1,MIXED,MEDIUM
KXBTC15M-26SEP112300-00,3,ABOVE,1,1,0,0,CONFLICT,MEDIUM-HIGH
KXBTC15M-26SEP112115-15,2,ABOVE,1,1,1,1,MIXED,MEDIUM
KXBTC15M-26SEP112130-30,2,BELOW,1,1,1,1,MIXED,MEDIUM
KXBTC15M-26SEP112145-45,2,BELOW,1,1,1,1,MIXED,MEDIUM
