source,horizon_s,n,accuracy
of_validated_score,2,28,0.4642857142857143
of_validated_score,5,28,0.5
of_validated_score,10,29,0.4827586206896552
of_validated_score,20,29,0.4482758620689655
of_validated_score,30,29,0.3793103448275862
of_validated_score,60,28,0.39285714285714285
mof_combined_pressure_score,2,66,0.4090909090909091
mof_combined_pressure_score,5,65,0.46153846153846156
mof_combined_pressure_score,10,66,0.4393939393939394
mof_combined_pressure_score,20,66,0.48484848484848486
mof_combined_pressure_score,30,65,0.4461538461538462
mof_combined_pressure_score,60,63,0.4444444444444444
mof_crypto_com_pressure_score,2,107,0.514018691588785
mof_crypto_com_pressure_score,5,107,0.48598130841121495
mof_crypto_com_pressure_score,10,108,0.5277777777777778
mof_crypto_com_pressure_score,20,106,0.5283018867924528
mof_crypto_com_pressure_score,30,104,0.5288461538461539
mof_crypto_com_pressure_score,60,98,0.4897959183673469
mof_coinbase_pressure_score,2,120,0.575
mof_coinbase_pressure_score,5,119,0.5462184873949579
mof_coinbase_pressure_score,10,118,0.5254237288135594
mof_coinbase_pressure_score,20,116,0.5344827586206896
mof_coinbase_pressure_score,30,116,0.47413793103448276
mof_coinbase_pressure_score,60,109,0.48623853211009177
