dataset,ticker,complete,actual_cross_count,crossed_at_least_once,qualified_arm,arm_distance_abs,seconds_remaining_at_arm,tr_cross_estimate_at_arm,arm_rule
development_v10_23,KXBTC15M-26SEP111645-45,1,11,1,1,13.180000000007567,884.599,0.7048844112289618,abs(distance)<=20 AND calibrated TR>=0.65
development_v10_23,KXBTC15M-26SEP111700-00,1,1,1,1,10.190000000002328,873.183,0.7957886084666422,abs(distance)<=20 AND calibrated TR>=0.65
development_v10_23,KXBTC15M-26SEP111715-15,1,25,1,1,8.479999999995925,890.508,0.8521365606282594,abs(distance)<=20 AND calibrated TR>=0.65
development_v10_23,KXBTC15M-26SEP111730-30,1,0,0,0,,,,abs(distance)<=20 AND calibrated TR>=0.65
development_v10_23,KXBTC15M-26SEP111745-45,1,24,1,1,10.459999999991851,868.222,0.6935510504341417,abs(distance)<=20 AND calibrated TR>=0.65
development_v10_23,KXBTC15M-26SEP111800-00,1,1,1,1,10.190000000002328,870.124,0.7061139708444025,abs(distance)<=20 AND calibrated TR>=0.65
development_v10_23,KXBTC15M-26SEP111815-15,1,15,1,1,3.289999999993597,883.982,0.90599744995817,abs(distance)<=20 AND calibrated TR>=0.65
development_v10_23,KXBTC15M-26SEP111830-30,1,14,1,1,17.30999999999767,865.66,0.7477502753906006,abs(distance)<=20 AND calibrated TR>=0.65
development_v10_23,KXBTC15M-26SEP111845-45,1,8,1,1,16.79000000000815,882.094,0.7120492256701451,abs(distance)<=20 AND calibrated TR>=0.65
development_v10_23,KXBTC15M-26SEP111900-00,1,18,1,1,10.85000000000582,261.992,0.7035316404282922,abs(distance)<=20 AND calibrated TR>=0.65
development_v10_23,KXBTC15M-26SEP111915-15,1,12,1,1,10.0,870.948,0.8274567725925603,abs(distance)<=20 AND calibrated TR>=0.65
development_v10_23,KXBTC15M-26SEP111930-30,1,3,1,1,2.3399999999965075,879.439,0.9087668848858128,abs(distance)<=20 AND calibrated TR>=0.65
development_v10_23,KXBTC15M-26SEP111945-45,1,8,1,1,9.489999999990687,887.188,0.6795384203670161,abs(distance)<=20 AND calibrated TR>=0.65
development_v10_23,KXBTC15M-26SEP112000-00,1,1,1,1,11.130000000004657,812.196,0.6769365917499817,abs(distance)<=20 AND calibrated TR>=0.65
development_v10_23,KXBTC15M-26SEP112015-15,1,5,1,1,0.06000000001222361,872.022,0.9900237392619264,abs(distance)<=20 AND calibrated TR>=0.65
development_v10_23,KXBTC15M-26SEP112030-30,1,7,1,1,9.740000000005239,833.084,0.6764202046297644,abs(distance)<=20 AND calibrated TR>=0.65
forward_v10_27,KXBTC15M-26SEP112115-15,1,1,1,1,9.589999999996508,895.615,0.6672616130337155,abs(distance)<=20 AND calibrated TR>=0.65
forward_v10_27,KXBTC15M-26SEP112130-30,1,5,1,1,5.519999999989523,888.437,0.7375135003298483,abs(distance)<=20 AND calibrated TR>=0.65
forward_v10_27,KXBTC15M-26SEP112145-45,1,16,1,1,2.5899999999965075,876.116,0.8581110025620132,abs(distance)<=20 AND calibrated TR>=0.65
forward_v10_27,KXBTC15M-26SEP112200-00,1,17,1,1,8.65999999998894,883.022,0.6965560319058987,abs(distance)<=20 AND calibrated TR>=0.65
forward_v10_27,KXBTC15M-26SEP112215-15,1,7,1,1,6.9100000000034925,896.624,0.7575240714608259,abs(distance)<=20 AND calibrated TR>=0.65
forward_v10_27,KXBTC15M-26SEP112230-30,1,20,1,1,4.2700000000040745,836.221,0.7138881752931189,abs(distance)<=20 AND calibrated TR>=0.65
forward_v10_27,KXBTC15M-26SEP112245-45,1,6,1,1,2.3099999999976717,801.389,0.8292266936863435,abs(distance)<=20 AND calibrated TR>=0.65
forward_v10_27,KXBTC15M-26SEP112300-00,1,11,1,1,2.0500000000029104,883.925,0.9038949089837176,abs(distance)<=20 AND calibrated TR>=0.65
