dataset,ticker,actual_cross_count,multiple_flips
development_v10_23,KXBTC15M-26SEP111645-45,11,1
development_v10_23,KXBTC15M-26SEP111700-00,1,0
development_v10_23,KXBTC15M-26SEP111715-15,25,1
development_v10_23,KXBTC15M-26SEP111730-30,0,0
development_v10_23,KXBTC15M-26SEP111745-45,24,1
development_v10_23,KXBTC15M-26SEP111800-00,1,0
development_v10_23,KXBTC15M-26SEP111815-15,15,1
development_v10_23,KXBTC15M-26SEP111830-30,14,1
development_v10_23,KXBTC15M-26SEP111845-45,8,1
development_v10_23,KXBTC15M-26SEP111900-00,18,1
development_v10_23,KXBTC15M-26SEP111915-15,12,1
development_v10_23,KXBTC15M-26SEP111930-30,3,1
development_v10_23,KXBTC15M-26SEP111945-45,8,1
development_v10_23,KXBTC15M-26SEP112000-00,1,0
development_v10_23,KXBTC15M-26SEP112015-15,5,1
development_v10_23,KXBTC15M-26SEP112030-30,7,1
forward_v10_27,KXBTC15M-26SEP112115-15,1,0
forward_v10_27,KXBTC15M-26SEP112130-30,5,1
forward_v10_27,KXBTC15M-26SEP112145-45,16,1
forward_v10_27,KXBTC15M-26SEP112200-00,17,1
forward_v10_27,KXBTC15M-26SEP112215-15,7,1
forward_v10_27,KXBTC15M-26SEP112230-30,20,1
forward_v10_27,KXBTC15M-26SEP112245-45,6,1
forward_v10_27,KXBTC15M-26SEP112300-00,11,1
